"GO.ID","Term","Annotated","Significant","Expected","classicFisher","p_adjust_FDR","p_adjust_Bonferroni"
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",66,24,0.81,0,0,0
"GO:0010498","proteasomal protein catabolic process",68,24,0.83,0,0,0
"GO:0006511","ubiquitin-dependent protein catabolic pr...",101,25,1.24,3.1e-30,2.6009e-27,7.8027e-27
"GO:0019941","modification-dependent protein catabolic...",103,25,1.26,5.4e-30,3.34401428571429e-27,1.35918e-26
"GO:0043632","modification-dependent macromolecule cat...",105,25,1.29,9.3e-30,3.34401428571429e-27,2.34081e-26
"GO:0044257","cellular protein catabolic process",105,25,1.29,9.3e-30,3.34401428571429e-27,2.34081e-26
"GO:0051603","proteolysis involved in cellular protein...",105,25,1.29,9.3e-30,3.34401428571429e-27,2.34081e-26
"GO:0030163","protein catabolic process",112,25,1.37,5.6e-29,1.7619e-26,1.40952e-25
"GO:0044265","cellular macromolecule catabolic process",136,25,1.67,1.1e-26,3.07633333333333e-24,2.7687e-23
"GO:0009057","macromolecule catabolic process",148,25,1.81,1.1e-25,2.7687e-23,2.7687e-22
"GO:0044248","cellular catabolic process",172,25,2.11,6e-24,1.37290909090909e-21,1.5102e-20
"GO:1901575","organic substance catabolic process",195,25,2.39,1.6e-22,3.356e-20,4.0272e-19
"GO:0009056","catabolic process",199,25,2.44,2.7e-22,5.22761538461538e-20,6.7959e-19
"GO:0006508","proteolysis",216,25,2.65,2.2e-21,3.95528571428571e-19,5.5374e-18
"GO:0044267","cellular protein metabolic process",713,29,8.73,6.9e-13,1.15782e-10,1.73673e-09
"GO:0019538","protein metabolic process",787,29,9.64,1.1e-11,1.7304375e-09,2.7687e-08
"GO:0044237","cellular metabolic process",1550,33,18.98,2e-07,2.96117647058824e-05,0.0005034
"GO:0044238","primary metabolic process",1578,33,19.32,3.5e-07,4.89416666666667e-05,0.00088095
"GO:0044260","cellular macromolecule metabolic process",1306,30,15.99,9.6e-07,0.000127174736842105,0.00241632
"GO:0071704","organic substance metabolic process",1663,33,20.37,1.7e-06,0.000213945,0.0042789
"GO:0006974","cellular response to DNA damage stimulus",164,11,2.01,2e-06,0.000239714285714286,0.005034
"GO:0008152","metabolic process",1726,33,21.14,5.5e-06,0.00062925,0.0138435
"GO:0043170","macromolecule metabolic process",1421,30,17.4,8.7e-06,0.000952082608695652,0.0218979
"GO:0042176","regulation of protein catabolic process",21,4,0.26,9.7e-05,0.010172875,0.244149
"GO:0009894","regulation of catabolic process",25,4,0.31,2e-04,0.020136,0.5034
"GO:0033554","cellular response to stress",285,11,3.49,0.00037,0.0358188461538462,0.93129
"GO:0015985","energy coupled proton transport, down el...",13,3,0.16,0.00044,0.0395528571428571,1
"GO:0015986","ATP synthesis coupled proton transport",13,3,0.16,0.00044,0.0395528571428571,1
"GO:0006754","ATP biosynthetic process",14,3,0.17,0.00056,0.0486041379310345,1
"GO:0009142","nucleoside triphosphate biosynthetic pro...",15,3,0.18,0.00069,0.0526281818181818,1
"GO:0009145","purine nucleoside triphosphate biosynthe...",15,3,0.18,0.00069,0.0526281818181818,1
"GO:0009201","ribonucleoside triphosphate biosynthetic...",15,3,0.18,0.00069,0.0526281818181818,1
"GO:0009206","purine ribonucleoside triphosphate biosy...",15,3,0.18,0.00069,0.0526281818181818,1
"GO:0009127","purine nucleoside monophosphate biosynth...",18,3,0.22,0.00121,0.0870162857142857,1
"GO:0009168","purine ribonucleoside monophosphate bios...",18,3,0.22,0.00121,0.0870162857142857,1
"GO:0042451","purine nucleoside biosynthetic process",19,3,0.23,0.00143,0.0972786486486487,1
"GO:0046129","purine ribonucleoside biosynthetic proce...",19,3,0.23,0.00143,0.0972786486486487,1
"GO:0009124","nucleoside monophosphate biosynthetic pr...",20,3,0.24,0.00166,0.0994814285714286,1
"GO:0009156","ribonucleoside monophosphate biosyntheti...",20,3,0.24,0.00166,0.0994814285714286,1
"GO:0009163","nucleoside biosynthetic process",20,3,0.24,0.00166,0.0994814285714286,1
"GO:0042455","ribonucleoside biosynthetic process",20,3,0.24,0.00166,0.0994814285714286,1
"GO:1901659","glycosyl compound biosynthetic process",20,3,0.24,0.00166,0.0994814285714286,1
"GO:0006164","purine nucleotide biosynthetic process",24,3,0.29,0.00286,0.163605,1
"GO:0009152","purine ribonucleotide biosynthetic proce...",24,3,0.29,0.00286,0.163605,1
"GO:0009260","ribonucleotide biosynthetic process",25,3,0.31,0.00322,0.172441276595745,1
"GO:0046390","ribose phosphate biosynthetic process",25,3,0.31,0.00322,0.172441276595745,1
"GO:0072522","purine-containing compound biosynthetic ...",25,3,0.31,0.00322,0.172441276595745,1
"GO:1902600","hydrogen ion transmembrane transport",26,3,0.32,0.00361,0.189299375,1
"GO:0006818","hydrogen transport",29,3,0.36,0.00494,0.2486796,1
"GO:0015992","proton transport",29,3,0.36,0.00494,0.2486796,1
"GO:0009165","nucleotide biosynthetic process",30,3,0.37,0.00545,0.263800961538462,1
"GO:1901293","nucleoside phosphate biosynthetic proces...",30,3,0.37,0.00545,0.263800961538462,1
"GO:0000082","G1/S transition of mitotic cell cycle",31,3,0.38,0.00598,0.278734444444444,1
"GO:0044843","cell cycle G1/S phase transition",31,3,0.38,0.00598,0.278734444444444,1
"GO:0009987","cellular process",2323,34,28.45,0.00619,0.283276909090909,1
"GO:0015672","monovalent inorganic cation transport",37,3,0.45,0.00983,0.426588103448276,1
"GO:0098660","inorganic ion transmembrane transport",37,3,0.45,0.00983,0.426588103448276,1
"GO:0098662","inorganic cation transmembrane transport",37,3,0.45,0.00983,0.426588103448276,1
"GO:0034220","ion transmembrane transport",38,3,0.47,0.01059,0.4442505,1
"GO:0098655","cation transmembrane transport",38,3,0.47,0.01059,0.4442505,1
"GO:0044711","single-organism biosynthetic process",115,5,1.41,0.01194,0.492671803278688,1
"GO:0090407","organophosphate biosynthetic process",40,3,0.49,0.0122,0.49528064516129,1
"GO:0015988","energy coupled proton transmembrane tran...",15,2,0.18,0.01385,0.536314615384615,1
