ID1,ID2,Source_Type,weights,Coexpress_Development,sign_score_sign,coexpress_sign,compare,color,IDS,duplicate,norm_weights,sign_weights,abs_weights,ID1_consensus,ID2_consensus
FBgn0010217,FBgn0011211,Predicted,1.889822365,0.9546213032,positive,positive,same,green,FBgn0010217,FBgn0011211,FALSE,0.458349248504879,1,0.458349248504879,Essential,Essential
FBgn0010217,FBgn0020235,Predicted,2.6457513111,0.8218751084,positive,positive,same,green,FBgn0010217,FBgn0020235,FALSE,0.641688947931085,1,0.641688947931085,Essential,Essential
FBgn0010265,FBgn0050497,Predicted,1.4142135624,-0.1157451436,positive,negative,different,green,FBgn0010265,FBgn0050497,FALSE,0.342997170293012,1,0.342997170293012,Essential,Essential
FBgn0028694,FBgn0028693,Predicted,2.7136021012,0.6301191004,positive,positive,same,green,FBgn0028694,FBgn0028693,FALSE,0.658145181717267,1,0.658145181717267,Essential,Essential
FBgn0028694,FBgn0031549,Predicted,2.2360679775,0.2186380041,positive,positive,same,green,FBgn0028694,FBgn0031549,FALSE,0.542326144549014,1,0.542326144549014,Essential,Essential
FBgn0028694,FBgn0028695,Predicted,1.8973665961,0.9810960734,positive,positive,same,green,FBgn0028694,FBgn0028695,FALSE,0.460178993310144,1,0.460178993310144,Essential,Essential
FBgn0028694,FBgn0015283,Predicted,2.4494897428,0.9612299266,positive,positive,same,green,FBgn0028694,FBgn0015283,FALSE,0.594088525792629,1,0.594088525792629,Essential,Essential
FBgn0028694,FBgn0002787,Predicted,3.1622776602,0.9829750705,positive,positive,same,green,FBgn0028694,FBgn0002787,FALSE,0.766964988858325,1,0.766964988858325,Essential,Essential
FBgn0028694,FBgn0032596,Predicted,2.7136021012,0.7646344404,positive,positive,same,green,FBgn0028694,FBgn0032596,FALSE,0.658145181717267,1,0.658145181717267,Essential,Essential
FBgn0028694,FBgn0250843,Predicted,3.1622776602,0.6509901609,positive,positive,same,green,FBgn0028694,FBgn0250843,FALSE,0.766964988858325,1,0.766964988858325,Essential,Essential
FBgn0028694,FBgn0261396,Predicted,3.1622776602,0.976106927,positive,positive,same,green,FBgn0028694,FBgn0261396,FALSE,0.766964988858325,1,0.766964988858325,Essential,Essential
FBgn0028694,FBgn0086134,Predicted,2.5298221281,0.8314093316,positive,positive,same,green,FBgn0028694,FBgn0086134,FALSE,0.613571991072108,1,0.613571991072108,Essential,Essential
FBgn0028694,FBgn0250746,Predicted,2.7136021012,0.6053398963,positive,positive,same,green,FBgn0028694,FBgn0250746,FALSE,0.658145181717267,1,0.658145181717267,Essential,Essential
FBgn0028694,FBgn0029134,Predicted,2.5298221281,0.7077329423,positive,positive,same,green,FBgn0028694,FBgn0029134,FALSE,0.613571991072108,1,0.613571991072108,Essential,Essential
FBgn0028686,FBgn0028695,Predicted,3.4641016151,0.9528777741,positive,positive,same,green,FBgn0028686,FBgn0028695,FALSE,0.840168050411248,1,0.840168050411248,Essential,Essential
FBgn0028686,FBgn0028687,Predicted,3.3166247904,0.960642984,positive,positive,same,green,FBgn0028686,FBgn0028687,FALSE,0.804399666554106,1,0.804399666554106,Essential,Essential
FBgn0028686,FBgn0028694,Predicted,2.110579412,0.9611785327,positive,positive,same,green,FBgn0028686,FBgn0028694,FALSE,0.511890696880429,1,0.511890696880429,Essential,Essential
FBgn0028686,FBgn0250746,Predicted,3.0508510792,0.6620163396,positive,positive,same,green,FBgn0028686,FBgn0250746,FALSE,0.739940073389712,1,0.739940073389712,Essential,Essential
FBgn0028686,FBgn0028692,Predicted,2.496150883,0.9412358146,positive,positive,same,green,FBgn0028686,FBgn0028692,FALSE,0.605405514595993,1,0.605405514595993,Essential,Essential
FBgn0028686,FBgn0032884,Predicted,3.4641016151,0.791309659,positive,positive,same,green,FBgn0028686,FBgn0032884,FALSE,0.840168050411248,1,0.840168050411248,Essential,Essential
FBgn0028686,FBgn0028688,Predicted,2.8867513459,0.95734294,positive,positive,same,green,FBgn0028686,FBgn0028688,FALSE,0.700140042005331,1,0.700140042005331,Essential,Essential
FBgn0028686,FBgn0250843,Predicted,3,0.7140645357,positive,positive,same,green,FBgn0028686,FBgn0250843,FALSE,0.727606875112116,1,0.727606875112116,Essential,Essential
FBgn0028686,FBgn0032596,Predicted,3.3166247904,0.7963589187,positive,positive,same,green,FBgn0028686,FBgn0032596,FALSE,0.804399666554106,1,0.804399666554106,Essential,Essential
FBgn0028686,FBgn0261396,Predicted,3.4641016151,0.9524762014,positive,positive,same,green,FBgn0028686,FBgn0261396,FALSE,0.840168050411248,1,0.840168050411248,Essential,Essential
FBgn0028686,FBgn0086134,Predicted,3.0508510792,0.833611978,positive,positive,same,green,FBgn0028686,FBgn0086134,FALSE,0.739940073389712,1,0.739940073389712,Essential,Essential
FBgn0028686,FBgn0029134,Predicted,3.0508510792,0.7595896274,positive,positive,same,green,FBgn0028686,FBgn0029134,FALSE,0.739940073389712,1,0.739940073389712,Essential,Essential
FBgn0032884,FBgn0250843,Predicted,2.3333333333,0.9284006873,positive,positive,same,green,FBgn0032884,FBgn0250843,FALSE,0.56591645841245,1,0.56591645841245,Essential,Essential
FBgn0032884,FBgn0086134,Predicted,2.110579412,0.9665899092,positive,positive,same,green,FBgn0032884,FBgn0086134,FALSE,0.511890696880429,1,0.511890696880429,Essential,Essential
FBgn0032884,FBgn0250746,Predicted,2.8867513459,0.947935667,positive,positive,same,green,FBgn0032884,FBgn0250746,FALSE,0.700140042005331,1,0.700140042005331,Essential,Essential
FBgn0015283,FBgn0015282,Predicted,1.8973665961,0.8653201396,positive,positive,same,green,FBgn0015283,FBgn0015282,FALSE,0.460178993310144,1,0.460178993310144,Essential,Essential
FBgn0015283,FBgn0032596,Predicted,2.6457513111,0.7053383864,positive,positive,same,green,FBgn0015283,FBgn0032596,FALSE,0.641688947931085,1,0.641688947931085,Essential,Essential
FBgn0028687,FBgn0028695,Predicted,2.5298221281,0.9711279556,positive,positive,same,green,FBgn0028687,FBgn0028695,FALSE,0.613571991072108,1,0.613571991072108,Essential,Essential
FBgn0028687,FBgn0028694,Predicted,3,0.948969636,positive,positive,same,green,FBgn0028687,FBgn0028694,FALSE,0.727606875112116,1,0.727606875112116,Essential,Essential
FBgn0028687,FBgn0250746,Predicted,2.496150883,0.7720831406,positive,positive,same,green,FBgn0028687,FBgn0250746,FALSE,0.605405514595993,1,0.605405514595993,Essential,Essential
FBgn0028687,FBgn0028692,Predicted,3.4641016151,0.9675492747,positive,positive,same,green,FBgn0028687,FBgn0028692,FALSE,0.840168050411248,1,0.840168050411248,Essential,Essential
