"Complex","Conditional","Essential","Nonessential","<NA>","protein_count","essentiality_fraction","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"FC1",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster536","Additional publication","Fly","22036573","FBgn0031324 FBgn0038586 "
"FC10",0,0,3,0,3,0,3,"Literature","methionyl glutamyl tRNA synthetase complex","methionyl glutamyl tRNA synthetase complex",NA,"Affinity Capture-Western","methionyl glutamyl tRNA synthetase complex","CYC2008","Yeast","9659920","FBgn0005674 FBgn0033351 FBgn0034401 "
"FC1000",0,0,9,1,10,0,10,"Literature","BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I","BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I;BRM-SIN3A-HDAC complex",NA,"MI:0029- cosedimentation through density gradients | MI:0004- affinity chromatography technologies | MI:0006- anti bait coimmunoprecipitation","BRM-SIN3A-HDAC complex","CORUM","Human","14559996","FBgn0002783 FBgn0025463 FBgn0000212 FBgn0261885 FBgn0025716 FBgn0011715 FBgn0022764 FBgn0030093 FBgn0015925 FBgn0015805 "
"FC1001",0,0,3,0,3,0,3,"Literature","ING1-PCNA complex","ING1-PCNA complex",NA,"MI:0006- anti bait coimmunoprecipitation | MI:0029- cosedimentation through density gradients","ING1-PCNA complex","CORUM","Human","11682605","FBgn0038546 FBgn0032813 FBgn0005655 "
"FC1002",0,0,3,0,3,0,3,"Literature","MYC-MAX-BLOC1S1 complex","MYC-MAX-BLOC1S1 complex",NA,"MI:0019- coimmunoprecipitation","MYC-MAX-BLOC1S1 complex","CORUM","Human","10611234","FBgn0000472 FBgn0017578 FBgn0050077 "
"FC1003",0,0,3,0,3,0,3,"Literature","CDK8-MED6-PARP1 complex","CDK8-MED6-PARP1 complex",NA,"MI:0019- coimmunoprecipitation","CDK8-MED6-PARP1 complex","CORUM","Human","15808511","FBgn0010247 FBgn0015618 FBgn0024330 "
"FC1004",0,0,3,0,3,0,3,"Literature","synaptic vesicle docking involved in exocytosis","synaptic vesicle docking involved in exocytosis;synaptic vesicle exocytosis;neurotransmitter secretion;vesicle docking involved in exocytosis;regulation of neurotransmitter levels",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster162","Additional publication","Fly","22036573","FBgn0013342 FBgn0035540 FBgn0034913 "
"FC1005",0,1,3,0,4,0.25,4,"Literature","Cdc28p/Cln1p complex","Cdc28p/Cln1p complex",NA,"Traceable author statement","Cdc28p/Cln1p complex","CYC2008","Yeast","8319908","FBgn0004106 FBgn0004107 FBgn0032360 FBgn0013762 "
"FC1006",0,1,4,0,5,0.2,5,"Literature","Multiprotein complex (monoubiquitination)","Multiprotein complex (monoubiquitination)",NA,"MI:0019- coimmunoprecipitation","Multiprotein complex (monoubiquitination)","CORUM","Human","12218189","FBgn0020224 FBgn0027598 FBgn0003943 FBgn0086558 FBgn0003731 "
"FC1007",0,0,7,0,7,0,7,"Literature","BLM complex II","BLM complex II",NA,"MI:0006- anti bait coimmunoprecipitation","BLM complex II","CORUM","Human","12724401","FBgn0030322 FBgn0036450 FBgn0040268 FBgn0027375 FBgn0002906 FBgn0032906 FBgn0010173 "
"FC1008",0,0,5,0,5,0,5,"Literature","translation","translation;cellular protein metabolic process;cellular macromolecule biosynthetic process;protein metabolic process;gene expression",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster102","Additional publication","Fly","22036573","FBgn0035335 FBgn0026741 FBgn0029718 FBgn0030552 FBgn0030692 "
"FC1009",0,0,14,0,14,0,14,"Literature","URI complex (Unconventional prefoldin RPB5 Interactor)","URI complex (Unconventional prefoldin RPB5 Interactor)",NA,"MI:0071- molecular sieving | MI:0006- anti bait coimmunoprecipitation","URI complex (Unconventional prefoldin RPB5 Interactor)","CORUM","Human","14615539","FBgn0033571 FBgn0034863 FBgn0034904 FBgn0037236 FBgn0040075 FBgn0026176 FBgn0025637 FBgn0026174 FBgn0035025 FBgn0010741 FBgn0015509 FBgn0026175 FBgn0040078 FBgn0031074 "
"FC1010",1,0,12,0,13,0,13,"Literature","COMPASS","COMPASS;Set1p;COMPASS complex;Set1C",NA,"Affinity Capture-MS","COMPASS complex","CYC2008","Yeast","11742990","FBgn0031513 FBgn0036972 FBgn0040066 FBgn0000139 FBgn0034274 FBgn0040022 FBgn0031431 FBgn0035491 FBgn0032030 FBgn0032293 FBgn0036973 FBgn0000629 FBgn0003862 "
"FC1011",0,0,3,0,3,0,3,"Literature","Hym1p/Kic1p/Sog2p complex","Hym1p/Kic1p/Sog2p complex",NA,"Two-hybrid,Affinity Capture-Western","Hym1p/Kic1p/Sog2p complex","CYC2008","Yeast","12972564","FBgn0086736 FBgn0017572 FBgn0029925 "
"FC1012",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster280","Additional publication","Fly","22036573","FBgn0038806 FBgn0051120 "
"FC1013",0,0,3,0,3,0,3,"Literature","GSE Complex","GSE Complex",NA,"Reconstituted Complex,Affinity Capture-MS,Co-purification","GSE Complex","CYC2008","Yeast","16732272","FBgn0033272 FBgn0027525 FBgn0037647 "
"FC1014",0,0,2,1,3,0,3,"Literature","DNA repair","DNA repair;response to DNA damage stimulus;cellular response to stress",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster180","CYC2008","Yeast","","FBgn0033972 FBgn0261850 FBgn0037301 "
"FC1015",0,0,2,0,2,0,2,"Literature","Cdk5-Cdk5r1-Pctk1 complex","Cdk5-Cdk5r1-Pctk1 complex;cyclin-dependent protein kinase 5 holoenzyme complex;Cdk5/p35 complex (Cdk5-Cdk5r1 complex)",NA,"MI:0096- pull down","Cdk5-Cdk5r1-Pctk1 complex","CORUM","Mus musculus","12084709","FBgn0013762 FBgn0027491 "
"FC1016",0,0,7,0,7,0,7,"Literature","RNA polymerase II complex, incomplete (CDK8 complex), chromatin structure modifying","RNA polymerase II complex, incomplete (CDK8 complex), chromatin structure modifying",NA,"MI:0047- far western blotting","RNA polymerase II complex, incomplete (CDK8 complex), chromatin structure modifying","CORUM","Human","9710619","FBgn0002783 FBgn0004597 FBgn0015618 FBgn0010282 FBgn0011715 FBgn0040020 FBgn0022936 "
"FC1017",0,0,4,0,4,0,4,"Literature","TERF2-RAP1 complex","TERF2-RAP1 complex",NA,"MI:0007- anti tag coimmunoprecipitation","TERF2-RAP1 complex","CORUM","Human","15383534","FBgn0020270 FBgn0034728 FBgn0041627 FBgn0011774 "
"FC1018",0,0,2,0,2,0,2,"Literature","Sema3E-PlexinD1 complex","Sema3E-PlexinD1 complex",NA,"MI:0007- anti tag coimmunoprecipitation","Sema3E-PlexinD1 complex","CORUM","Mus musculus","15550623","FBgn0025740 FBgn0011260 "
"FC1019",0,0,3,0,3,0,3,"Literature","ITGA6-ITGB4-CD9 complex","ITGA6-ITGB4-CD9 complex;ITGA7-ITGB1-CD9 complex",NA,"MI:0024- confirmational text mining","ITGA6-ITGB4-CD9 complex","CORUM","Human","10711425","FBgn0004456 FBgn0027865 FBgn0004657 "
