"locus","essentiality.consensus"
"FBgn0000008","Nonessential"
"FBgn0000014","Essential"
"FBgn0000015","Nonessential"
"FBgn0000017","Nonessential"
"FBgn0000018","Nonessential"
"FBgn0000022","Nonessential"
"FBgn0000024","Nonessential"
"FBgn0000028","Nonessential"
"FBgn0000032","Nonessential"
"FBgn0000036","Nonessential"
"FBgn0000037","Nonessential"
"FBgn0000038","Nonessential"
"FBgn0000039","Nonessential"
"FBgn0000042","Nonessential"
"FBgn0000043","Nonessential"
"FBgn0000044","Nonessential"
"FBgn0000045","Nonessential"
"FBgn0000046","Nonessential"
"FBgn0000047","Nonessential"
"FBgn0000052","Nonessential"
"FBgn0000053","Nonessential"
"FBgn0000054","Nonessential"
"FBgn0000055","Nonessential"
"FBgn0000056","Nonessential"
"FBgn0000057","Nonessential"
"FBgn0000061","Nonessential"
"FBgn0000063","Nonessential"
"FBgn0000064","Nonessential"
"FBgn0000071","Nonessential"
"FBgn0000075","Nonessential"
"FBgn0000077","Nonessential"
"FBgn0000078","Nonessential"
"FBgn0000079","Nonessential"
"FBgn0000083","Nonessential"
"FBgn0000084","Nonessential"
"FBgn0000092","Nonessential"
"FBgn0000094","Nonessential"
"FBgn0000097","Essential"
"FBgn0000099","Nonessential"
"FBgn0000100","Nonessential"
"FBgn0000108","Nonessential"
"FBgn0000109","Nonessential"
"FBgn0000114","Nonessential"
"FBgn0000115","Nonessential"
"FBgn0000116","Nonessential"
"FBgn0000117","Nonessential"
"FBgn0000119","Nonessential"
"FBgn0000120","Nonessential"
"FBgn0000121","Nonessential"
"FBgn0000137","Nonessential"
"FBgn0000139","Nonessential"
"FBgn0000140","Nonessential"
"FBgn0000142","Nonessential"
"FBgn0000146","Nonessential"
"FBgn0000147","Nonessential"
"FBgn0000150","Nonessential"
"FBgn0000152","Nonessential"
"FBgn0000153","Nonessential"
"FBgn0000157","Nonessential"
"FBgn0000158","Nonessential"
"FBgn0000163","Nonessential"
"FBgn0000166","Nonessential"
"FBgn0000171","Nonessential"
"FBgn0000173","Nonessential"
"FBgn0000179","Nonessential"
"FBgn0000180","Nonessential"
"FBgn0000181","Nonessential"
"FBgn0000182","Nonessential"
"FBgn0000183","Nonessential"
"FBgn0000206","Nonessential"
"FBgn0000210","Nonessential"
"FBgn0000212","Nonessential"
"FBgn0000216","Nonessential"
"FBgn0000221","Nonessential"
"FBgn0000227","Nonessential"
"FBgn0000228","Nonessential"
"FBgn0000229","Nonessential"
"FBgn0000233","Nonessential"
"FBgn0000239","Nonessential"
"FBgn0000241","Nonessential"
"FBgn0000242","Nonessential"
"FBgn0000244","Nonessential"
"FBgn0000246","Nonessential"
"FBgn0000247","Nonessential"
"FBgn0000250","Nonessential"
"FBgn0000251","Nonessential"
"FBgn0000253","Nonessential"
"FBgn0000256","Nonessential"
"FBgn0000257","Nonessential"
"FBgn0000258","Nonessential"
"FBgn0000259","Nonessential"
"FBgn0000261","Nonessential"
"FBgn0000273","Nonessential"
"FBgn0000274","Nonessential"
"FBgn0000276","Nonessential"
"FBgn0000277","Nonessential"
"FBgn0000278","Nonessential"
"FBgn0000279","Nonessential"
"FBgn0000283","Nonessential"
"FBgn0000286","Essential"
"FBgn0000287","Nonessential"
"FBgn0000289","Essential"
"FBgn0000299","Nonessential"
"FBgn0000303","Nonessential"
"FBgn0000307","Nonessential"
"FBgn0000308","Nonessential"
"FBgn0000313","Nonessential"
"FBgn0000316","Nonessential"
"FBgn0000317","Nonessential"
"FBgn0000318","Nonessential"
"FBgn0000319","Nonessential"
"FBgn0000320","Nonessential"
"FBgn0000326","Nonessential"
"FBgn0000330","Nonessential"
"FBgn0000337","Nonessential"
"FBgn0000338","Conditional"
"FBgn0000339","Nonessential"
"FBgn0000346","Nonessential"
"FBgn0000351","Nonessential"
"FBgn0000352","Nonessential"
"FBgn0000355","Nonessential"
"FBgn0000356","Nonessential"
"FBgn0000357","Nonessential"
"FBgn0000358","Nonessential"
"FBgn0000359","Nonessential"
"FBgn0000360","Nonessential"
"FBgn0000363","Essential"
"FBgn0000370","Nonessential"
"FBgn0000376","Nonessential"
"FBgn0000377","Nonessential"
"FBgn0000382","Nonessential"
"FBgn0000384","Nonessential"
"FBgn0000392","Nonessential"
"FBgn0000394","Nonessential"
"FBgn0000395","Nonessential"
"FBgn0000404","Nonessential"
