"locus","symbols","datasets","datasetIDs","essentiality.status","essentiality.consensus","color"
"FBgn0000008",NA,1,"347","NE","Nonessential","green"
"FBgn0000017",NA,1,"347","NE","Nonessential","green"
"FBgn0000022",NA,1,"347","NE","Nonessential","green"
"FBgn0000039",NA,1,"347","NE","Nonessential","green"
"FBgn0000042",NA,1,"347","NE","Nonessential","green"
"FBgn0000043",NA,1,"347","NE","Nonessential","green"
"FBgn0000045",NA,1,"347","NE","Nonessential","green"
"FBgn0000046",NA,1,"347","NE","Nonessential","green"
"FBgn0000054",NA,1,"347","NE","Nonessential","green"
"FBgn0000063",NA,1,"347","NE","Nonessential","green"
"FBgn0000064",NA,1,"347","NE","Nonessential","green"
"FBgn0000071",NA,1,"347","NE","Nonessential","green"
"FBgn0000083",NA,1,"347","NE","Nonessential","green"
"FBgn0000084",NA,1,"347","NE","Nonessential","green"
"FBgn0000097",NA,1,"347","E","Essential","red"
"FBgn0000099",NA,1,"347","NE","Nonessential","green"
"FBgn0000100",NA,1,"347","NE","Nonessential","green"
"FBgn0000114",NA,1,"347","NE","Nonessential","green"
"FBgn0000116",NA,1,"347","NE","Nonessential","green"
"FBgn0000117",NA,1,"347","NE","Nonessential","green"
"FBgn0000119",NA,1,"347","NE","Nonessential","green"
"FBgn0000120",NA,1,"347","NE","Nonessential","green"
"FBgn0000121",NA,1,"347","NE","Nonessential","green"
"FBgn0000137",NA,1,"347","NE","Nonessential","green"
"FBgn0000139",NA,1,"347","NE","Nonessential","green"
"FBgn0000140",NA,1,"347","NE","Nonessential","green"
"FBgn0000147",NA,1,"347","NE","Nonessential","green"
"FBgn0000150",NA,1,"347","NE","Nonessential","green"
"FBgn0000157",NA,1,"347","NE","Nonessential","green"
"FBgn0000163",NA,1,"347","NE","Nonessential","green"
"FBgn0000180",NA,1,"347","NE","Nonessential","green"
"FBgn0000181",NA,1,"347","NE","Nonessential","green"
"FBgn0000182",NA,1,"347","NE","Nonessential","green"
"FBgn0000206",NA,1,"347","NE","Nonessential","green"
"FBgn0000210",NA,1,"347","NE","Nonessential","green"
"FBgn0000212",NA,1,"347","NE","Nonessential","green"
"FBgn0000221",NA,1,"347","NE","Nonessential","green"
"FBgn0000229",NA,1,"347","NE","Nonessential","green"
"FBgn0000239",NA,1,"347","NE","Nonessential","green"
"FBgn0000242",NA,1,"347","NE","Nonessential","green"
"FBgn0000244",NA,1,"347","NE","Nonessential","green"
"FBgn0000246",NA,1,"347","NE","Nonessential","green"
"FBgn0000250",NA,1,"347","NE","Nonessential","green"
"FBgn0000251",NA,1,"347","NE","Nonessential","green"
"FBgn0000253",NA,1,"347","NE","Nonessential","green"
"FBgn0000256",NA,1,"347","NE","Nonessential","green"
"FBgn0000257",NA,1,"347","NE","Nonessential","green"
"FBgn0000259",NA,1,"347","NE","Nonessential","green"
"FBgn0000261",NA,1,"347","NE","Nonessential","green"
"FBgn0000273",NA,1,"347","NE","Nonessential","green"
"FBgn0000274",NA,1,"347","NE","Nonessential","green"
"FBgn0000276",NA,1,"347","NE","Nonessential","green"
"FBgn0000286",NA,1,"347","E","Essential","red"
"FBgn0000289",NA,1,"347","E","Essential","red"
"FBgn0000299",NA,1,"347","NE","Nonessential","green"
"FBgn0000308",NA,1,"347","NE","Nonessential","green"
"FBgn0000319",NA,1,"347","NE","Nonessential","green"
"FBgn0000326",NA,1,"347","NE","Nonessential","green"
"FBgn0000330",NA,1,"347","NE","Nonessential","green"
"FBgn0000346",NA,1,"347","NE","Nonessential","green"
"FBgn0000352",NA,1,"347","NE","Nonessential","green"
"FBgn0000358",NA,1,"347","NE","Nonessential","green"
"FBgn0000359",NA,1,"347","NE","Nonessential","green"
"FBgn0000370",NA,1,"347","NE","Nonessential","green"
"FBgn0000377",NA,1,"347","NE","Nonessential","green"
"FBgn0000382",NA,1,"347","NE","Nonessential","green"
"FBgn0000392",NA,1,"347","NE","Nonessential","green"
"FBgn0000404",NA,1,"347","NE","Nonessential","green"
"FBgn0000405",NA,1,"347","NE","Nonessential","green"
"FBgn0000409",NA,1,"347","NE","Nonessential","green"
"FBgn0000413",NA,1,"347","NE","Nonessential","green"
"FBgn0000414",NA,1,"347","NE","Nonessential","green"
"FBgn0000439",NA,1,"347","NE","Nonessential","green"
"FBgn0000451",NA,1,"347","NE","Nonessential","green"
"FBgn0000459",NA,1,"347","NE","Nonessential","green"
"FBgn0000463",NA,2,"347,363","NE,E","Conditional","orange"
"FBgn0000473",NA,1,"347","NE","Nonessential","green"
"FBgn0000479",NA,2,"347,363","NE,NE","Nonessential","green"
"FBgn0000482",NA,1,"347","NE","Nonessential","green"
"FBgn0000489",NA,1,"347","NE","Nonessential","green"
"FBgn0000490",NA,1,"347","NE","Nonessential","green"
"FBgn0000492",NA,1,"347","NE","Nonessential","green"
"FBgn0000499",NA,1,"347","NE","Nonessential","green"
"FBgn0000504",NA,1,"347","NE","Nonessential","green"
"FBgn0000520",NA,1,"347","NE","Nonessential","green"
"FBgn0000524",NA,1,"347","NE","Nonessential","green"
"FBgn0000536",NA,1,"347","NE","Nonessential","green"
"FBgn0000541",NA,1,"347","NE","Nonessential","green"
"FBgn0000543",NA,1,"347","NE","Nonessential","green"
"FBgn0000546",NA,1,"347","NE","Nonessential","green"
"FBgn0000547",NA,1,"347","NE","Nonessential","green"
"FBgn0000556",NA,1,"347","NE","Nonessential","green"
"FBgn0000559",NA,1,"347","NE","Nonessential","green"
"FBgn0000566",NA,1,"347","NE","Nonessential","green"
"FBgn0000575",NA,1,"347","NE","Nonessential","green"
"FBgn0000577",NA,1,"347","NE","Nonessential","green"
"FBgn0000578",NA,1,"347","NE","Nonessential","green"
"FBgn0000579",NA,1,"347","NE","Nonessential","green"
"FBgn0000581",NA,1,"347","NE","Nonessential","green"
"FBgn0000615",NA,1,"347","NE","Nonessential","green"
"FBgn0000617",NA,1,"347","NE","Nonessential","green"
"FBgn0000618",NA,1,"347","NE","Nonessential","green"
"FBgn0000629",NA,1,"347","NE","Nonessential","green"
"FBgn0000635",NA,1,"347","NE","Nonessential","green"
"FBgn0000636",NA,1,"347","NE","Nonessential","green"
"FBgn0000659",NA,1,"347","NE","Nonessential","green"
"FBgn0000667",NA,1,"347","NE","Nonessential","green"
"FBgn0000709",NA,1,"347","NE","Nonessential","green"
"FBgn0000711",NA,1,"347","NE","Nonessential","green"
