source	target	norm_weights	source_essentiality	target_essentiality
FLYBASE:FBgn0041604	FLYBASE:FBgn0004644	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0041604	FLYBASE:FBgn0004009	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0004635	FLYBASE:FBgn0005672	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0038108	FLYBASE:FBgn0013303	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0038108	FLYBASE:FBgn0037555	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0039129	FLYBASE:FBgn0025866	-0.342997170293012	Nonessential	Conditional
FLYBASE:FBgn0038577	FLYBASE:FBgn0051999	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0038577	FLYBASE:FBgn0000536	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0010583	FLYBASE:FBgn0032518	0.342997170293012	Nonessential	Essential
FLYBASE:FBgn0029955	FLYBASE:FBgn0024996	0.542326144549014	Nonessential	Nonessential
FLYBASE:FBgn0029955	FLYBASE:FBgn0035073	0.485071250074744	Nonessential	Nonessential
FLYBASE:FBgn0032906	FLYBASE:FBgn0010382	0.242535625037372	Nonessential	Essential
FLYBASE:FBgn0032906	FLYBASE:FBgn0050440	0.420084025217751	Nonessential	Nonessential
FLYBASE:FBgn0032906	FLYBASE:FBgn0037345	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0032906	FLYBASE:FBgn0039348	0.542326144549014	Nonessential	Conditional
FLYBASE:FBgn0028372	FLYBASE:FBgn0086361	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0028372	FLYBASE:FBgn0028687	-0.342997170293012	Nonessential	Essential
FLYBASE:FBgn0033683	FLYBASE:FBgn0085256	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0039130	FLYBASE:FBgn0261396	-0.242535625037372	Nonessential	Essential
FLYBASE:FBgn0036254	FLYBASE:FBgn0029148	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0019948	FLYBASE:FBgn0039589	0.594088525792629	Nonessential	Nonessential
FLYBASE:FBgn0015803	FLYBASE:FBgn0039204	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0015803	FLYBASE:FBgn0040385	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0010357	FLYBASE:FBgn0000163	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0001330	FLYBASE:FBgn0036514	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0036733	FLYBASE:FBgn0036915	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0030748	FLYBASE:FBgn0031546	-0.342997170293012	Nonessential	Conditional
FLYBASE:FBgn0030748	FLYBASE:FBgn0032656	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0028433	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0004623	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0050054	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0000120	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0004435	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0002940	FLYBASE:FBgn0033756	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0036514	FLYBASE:FBgn0030616	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0003169	FLYBASE:FBgn0003716	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0003169	FLYBASE:FBgn0011300	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0003169	FLYBASE:FBgn0003317	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0003169	FLYBASE:FBgn0011648	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0003169	FLYBASE:FBgn0025800	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0263351	FLYBASE:FBgn0261556	0.342997170293012	NA	Nonessential
FLYBASE:FBgn0036956	FLYBASE:FBgn0020910	0.542326144549014	Nonessential	Essential
FLYBASE:FBgn0040477	FLYBASE:FBgn0263979	0.420084025217751	Nonessential	NA
FLYBASE:FBgn0028836	FLYBASE:FBgn0027054	0.458349248504879	Nonessential	Nonessential
FLYBASE:FBgn0028836	FLYBASE:FBgn0028837	0.641688947931085	Nonessential	Nonessential
FLYBASE:FBgn0028836	FLYBASE:FBgn0013746	0.514495755439518	Nonessential	Nonessential
FLYBASE:FBgn0032646	FLYBASE:FBgn0030864	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0021874	FLYBASE:FBgn0002431	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0035817	FLYBASE:FBgn0038294	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0036223	FLYBASE:FBgn0027866	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0036223	FLYBASE:FBgn0034002	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0036223	FLYBASE:FBgn0024236	-0.458349248504879	Nonessential	Nonessential
FLYBASE:FBgn0036223	FLYBASE:FBgn0085405	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0017457	FLYBASE:FBgn0005411	0.594088525792629	Nonessential	Nonessential
FLYBASE:FBgn0017457	FLYBASE:FBgn0033348	0.325395686729409	Nonessential	Nonessential
FLYBASE:FBgn0017457	FLYBASE:FBgn0035253	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0052451	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0000377	0.56591645841245	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0037372	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0038893	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0083979	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0034994	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0029176	FLYBASE:FBgn0035499	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0035520	FLYBASE:FBgn0064225	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0035520	FLYBASE:FBgn0002607	-0.342997170293012	Nonessential	Essential
FLYBASE:FBgn0035520	FLYBASE:FBgn0025806	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0261933	FLYBASE:FBgn0029649	0.342997170293012	NA	Nonessential
FLYBASE:FBgn0261933	FLYBASE:FBgn0030301	-0.342997170293012	NA	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0016797	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0034724	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0001085	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0026373	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0027342	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0051999	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0030400	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0031902	FLYBASE:FBgn0027343	0.363803437556058	Nonessential	Nonessential
FLYBASE:FBgn0042085	FLYBASE:FBgn0002783	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0000578	FLYBASE:FBgn0000308	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0030317	FLYBASE:FBgn0034500	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0024956	FLYBASE:FBgn0261850	0.342997170293012	Nonessential	NA
FLYBASE:FBgn0024956	FLYBASE:FBgn0037207	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0264087	FLYBASE:FBgn0036213	-0.342997170293012	NA	Essential
FLYBASE:FBgn0264087	FLYBASE:FBgn0261617	0.342997170293012	NA	NA
FLYBASE:FBgn0264087	FLYBASE:FBgn0035238	0.342997170293012	NA	Nonessential
FLYBASE:FBgn0022986	FLYBASE:FBgn0001942	-0.420084025217751	Nonessential	Essential
FLYBASE:FBgn0051140	FLYBASE:FBgn0259168	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0040070	FLYBASE:FBgn0260632	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0026400	FLYBASE:FBgn0052183	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0033787	FLYBASE:FBgn0010263	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0033787	FLYBASE:FBgn0035246	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0033787	FLYBASE:FBgn0260959	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0033272	FLYBASE:FBgn0001216	-0.242535625037372	Nonessential	Nonessential
FLYBASE:FBgn0261804	FLYBASE:FBgn0039589	-0.342997170293012	NA	Nonessential
FLYBASE:FBgn0001986	FLYBASE:FBgn0035720	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0001986	FLYBASE:FBgn0022984	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0001986	FLYBASE:FBgn0027835	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0001986	FLYBASE:FBgn0261791	0.342997170293012	Nonessential	NA
FLYBASE:FBgn0000667	FLYBASE:FBgn0004117	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0004173	FLYBASE:FBgn0085478	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0004173	FLYBASE:FBgn0085405	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028686	0.739940073389712	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0250837	0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0030451	-0.485071250074744	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0261014	0.641688947931085	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028695	0.766964988858325	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0038577	-0.420084025217751	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028687	0.518562978844099	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028694	0.56591645841245	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0250746	0.840168050411248	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028691	0.275009549102928	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0015805	0.242535625037372	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0263121	0.342997170293012	Nonessential	NA
FLYBASE:FBgn0023175	FLYBASE:FBgn0026380	0.658145181717267	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028692	0.605405514595993	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028684	0.518562978844099	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0032884	0.727606875112116	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0033886	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0035772	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0033902	0.641688947931085	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028688	0.511890696880429	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0031253	-0.342997170293012	Nonessential	Nonessential
FLYBASE:FBgn0023175	FLYBASE:FBgn0261396	0.470870955802273	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0250843	0.685994340561771	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0032596	0.804399666554106	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028685	0.804399666554106	Nonessential	Essential
FLYBASE:FBgn0023175	FLYBASE:FBgn0028689	0.613571991072108	Nonessential	Nonessential
